City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vorgashor,67.5833,63.95,255.32,98,97,2.03,RU,1702575116
1,bismarck,46.8083,-100.7837,276.96,77,0,6.17,US,1702575116
2,invercargill,-46.4,168.35,285.63,78,99,4.34,NZ,1702575116
3,bethel,41.3712,-73.414,276.6,51,0,4.12,US,1702575117
4,grytviken,-54.2811,-36.5092,279.67,65,48,1.96,GS,1702575117
5,umrala,21.8333,71.8167,297.69,50,1,3.4,IN,1702575117
6,mount gambier,-37.8333,140.7667,285.23,88,58,1.67,AU,1702575079
7,arkhangel'sk,64.5401,40.5433,261.21,85,75,4.0,RU,1702575118
8,itamarandiba,-17.8572,-42.8589,304.34,23,1,3.96,BR,1702575101
9,kirakira,-10.4544,161.9205,297.96,83,32,2.37,SB,1702575118
10,tiksi,71.6872,128.8694,254.06,99,100,3.16,RU,1702575119
11,prince rupert,54.3161,-130.3201,279.98,70,100,11.83,CA,1702575112
12,kargasok,59.0556,80.8572,259.8,91,100,4.02,RU,1702575119
13,lebu,-37.6167,-73.65,287.96,66,54,4.23,CL,1702575119
14,papatowai,-46.5619,169.4708,285.7,75,100,3.49,NZ,1702575120
15,port-aux-francais,-49.35,70.2167,278.73,72,8,11.42,TF,1702575120
16,imeni morozova,59.9757,31.0376,268.17,97,94,1.88,RU,1702575120
17,adamstown,-25.066,-130.1015,296.2,85,13,6.27,PN,1702575121
18,kailua-kona,19.6406,-155.9956,296.13,90,75,10.29,US,1702575121
19,mulayjah,27.271,48.4242,290.48,39,0,4.3,SA,1702575121
20,avarua,-21.2078,-159.775,298.18,83,100,1.03,CK,1702575121
21,blackmans bay,-43.0167,147.3167,283.56,71,73,0.45,AU,1702575122
22,anadyr,64.75,177.4833,264.43,78,75,14.0,RU,1702575123
23,west island,-12.1568,96.8225,300.14,78,30,5.14,CC,1702575123
24,usinsk,65.9939,57.5281,258.25,96,99,4.72,RU,1702575124
25,lihue,21.9789,-159.3672,294.92,63,100,11.32,US,1702575125
26,polyarnyy,69.1989,33.4478,258.1,99,73,4.76,RU,1702575125
27,hadibu,12.65,54.0333,298.61,75,9,5.48,YE,1702575126
28,hawaiian paradise park,19.5933,-154.9731,294.88,96,100,8.75,US,1702574966
29,flin flon,54.7682,-101.865,275.06,60,100,4.12,CA,1702575126
30,pader,3.05,33.2167,299.52,44,93,0.71,UG,1702575127
31,niamey,13.5137,2.1098,302.31,11,0,5.14,NE,1702575128
32,longyearbyen,78.2186,15.6401,270.06,74,20,2.57,SJ,1702575128
33,college,64.8569,-147.8028,248.96,77,75,0.0,US,1702575129
34,iqaluit,63.7506,-68.5145,252.0,71,75,2.57,CA,1702575129
35,saipan,15.1355,145.701,300.54,78,40,6.69,MP,1702575130
36,malango,-2.9627,119.9001,293.74,97,100,1.07,ID,1702575130
37,la passe,45.5549,-0.8967,283.28,84,95,2.57,FR,1702575131
38,wailua homesteads,22.0669,-159.378,294.59,71,100,11.32,US,1702575131
39,qaqortoq,60.7167,-46.0333,254.8,73,6,3.42,GL,1702575132
40,maffra,-37.9667,146.9833,286.8,88,10,2.57,AU,1702575132
41,bredasdorp,-34.5322,20.0403,291.01,60,72,4.11,ZA,1702575133
42,santiago,-33.4569,-70.6483,300.84,34,0,7.2,CL,1702574987
43,aasiaat,68.7098,-52.8699,256.69,97,96,3.37,GL,1702575134
44,mejit,10.2753,170.8646,300.61,79,78,9.95,MH,1702575135
45,zouerate,22.7187,-12.4521,296.41,14,5,4.06,MR,1702575135
46,gorodishche,48.8045,44.4744,263.64,67,98,7.0,RU,1702574992
47,bilibino,68.0546,166.4372,250.92,91,99,3.3,RU,1702575136
48,yellowknife,62.456,-114.3525,259.44,72,40,8.23,CA,1702574910
49,rio grande,-32.035,-52.0986,308.21,70,100,2.05,BR,1702575138
50,jamestown,42.097,-79.2353,278.92,65,0,5.14,US,1702574976
51,isafjordur,66.0755,-23.124,272.17,86,75,1.54,IS,1702575139
52,kudat,6.8837,116.8477,300.11,89,100,1.54,MY,1702575139
53,shache,38.4167,77.2406,269.33,38,93,2.05,CN,1702575140
54,ust-nera,64.5667,143.2,250.85,97,100,3.0,RU,1702575140
55,masuguru,-11.3667,38.4167,302.84,54,93,3.7,TZ,1702575141
56,ushuaia,-54.8,-68.3,284.94,40,0,4.63,AR,1702574951
57,hammerfest,70.6634,23.6821,266.4,68,0,5.66,NO,1702575142
58,colonia,50.9333,6.95,279.18,87,100,2.06,DE,1702574905
59,puerto natales,-51.7236,-72.4875,285.4,43,0,3.09,CL,1702575143
60,sao vicente,-23.9631,-46.3919,305.25,63,100,2.24,BR,1702575145
61,edinburgh of the seven seas,-37.0676,-12.3116,289.96,94,96,9.84,SH,1702575145
62,punta arenas,-53.15,-70.9167,286.21,30,100,7.2,CL,1702575146
63,waitangi,-43.9535,-176.5597,284.72,83,47,0.89,NZ,1702575147
64,kone,-21.0595,164.8658,294.98,83,12,1.19,NC,1702575148
65,mont-joli,48.5839,-68.1921,266.87,68,75,5.66,CA,1702575149
66,lagoa,39.05,-27.9833,288.74,73,83,7.07,PT,1702575149
67,nagqu,31.5,92.0,249.85,83,48,1.37,CN,1702575150
68,greenville,35.6127,-77.3663,283.23,30,0,3.09,US,1702575013
69,revda,56.801,59.9303,258.03,87,100,1.43,RU,1702575151
70,georgetown,5.4112,100.3354,300.9,89,20,3.09,MY,1702574880
71,soba,10.9813,8.0575,295.69,26,34,3.66,NG,1702575152
72,alta,69.9689,23.2717,260.74,74,0,7.72,NO,1702575153
73,broken hill,-31.95,141.4333,292.35,53,0,5.01,AU,1702575133
74,talnakh,69.4865,88.3972,251.04,98,100,4.07,RU,1702575155
75,isabela,6.7085,121.9711,299.07,86,30,1.77,PH,1702575155
76,mossendjo,-2.9506,12.7261,295.32,97,100,1.03,CG,1702575155
77,dudinka,69.4058,86.1778,251.27,94,100,8.05,RU,1702575156
78,olonkinbyen,70.9221,-8.7187,274.77,97,87,12.28,SJ,1702575157
79,ola,59.5833,151.2833,261.01,63,99,7.52,RU,1702575157
80,puerto ayora,-0.7393,-90.3518,304.13,84,83,4.6,EC,1702575158
81,callao,-12.0667,-77.15,296.31,68,75,4.12,PE,1702575158
82,chonchi,-42.6128,-73.8092,287.71,66,100,4.1,CL,1702575159
83,nuuk,64.1835,-51.7216,265.49,62,75,3.6,GL,1702575160
84,verkhniy baskunchak,48.2256,46.7217,266.2,76,21,5.24,RU,1702575160
85,tura,25.5198,90.2201,286.74,59,10,1.65,IN,1702575161
86,atafu village,-8.5421,-172.5159,299.78,83,100,6.06,TK,1702575162
87,slantsy,59.1182,28.0914,266.35,98,96,0.95,RU,1702575016
88,ilulissat,69.2167,-51.1,264.16,73,75,4.63,GL,1702575162
89,alesund,62.4723,6.1549,279.23,65,40,4.63,NO,1702575163
90,zaozersk,69.4005,32.4476,255.0,99,58,2.74,RU,1702575163
91,nar'yan-mar,67.6713,53.087,258.21,96,95,2.68,RU,1702575164
92,kenai,60.5544,-151.2583,260.45,92,0,0.0,US,1702575164
93,xai-xai,-25.0519,33.6442,298.86,86,49,5.02,MZ,1702575165
94,kez,57.8979,53.7152,260.33,93,100,2.66,RU,1702575165
95,petropavlovsk-kamchatsky,53.0452,158.6483,266.18,73,0,12.07,RU,1702575166
96,whitehorse,60.7161,-135.0538,269.58,86,100,8.75,CA,1702575166
97,hamilton,39.1834,-84.5333,282.54,45,0,2.06,US,1702574997
98,port elizabeth,-33.918,25.5701,293.2,90,100,7.2,ZA,1702575166
99,akjoujt,19.6969,-14.4164,300.86,12,71,3.51,MR,1702575167
100,constantia,44.1833,28.65,281.53,78,100,4.63,RO,1702575167
101,tenenkou,14.4572,-4.9169,299.34,11,5,3.49,ML,1702575167
102,pavlovsk,50.4578,40.1081,269.78,84,100,8.09,RU,1702575168
103,castillos,-34.1667,-53.8333,297.97,74,98,3.28,UY,1702575168
104,hualien city,23.9769,121.6044,295.55,65,37,2.68,TW,1702575169
105,albany,42.6001,-73.9662,275.69,58,43,3.73,US,1702575141
106,itoman,26.1247,127.6694,295.58,90,20,2.57,JP,1702575169
107,el jadid,33.2549,-8.506,289.12,61,0,10.71,MA,1702575169
108,kiama,-34.6833,150.8667,294.26,89,63,1.82,AU,1702575170
109,alice springs,-23.7,133.8833,300.9,30,51,6.69,AU,1702575057
110,slave lake,55.2834,-114.769,274.14,47,100,2.57,CA,1702575170
111,lompoc,34.6391,-120.4579,293.03,62,0,4.63,US,1702575037
112,new castle,41.0037,-80.347,279.2,47,0,5.14,US,1702575086
113,hermanus,-34.4187,19.2345,290.75,69,31,5.03,ZA,1702575171
114,magadan,59.5667,150.8,260.67,69,100,5.17,RU,1702575172
115,farmville,37.3021,-78.3919,282.56,39,0,0.0,US,1702575172
116,jackson,42.4165,-122.8345,279.74,85,20,1.54,US,1702575006
117,margaret river,-33.95,115.0667,285.91,72,97,5.61,AU,1702575172
118,fort st. john,56.2499,-120.8529,271.09,64,75,5.14,CA,1702575173
119,tazacorte,28.629,-17.9293,294.34,76,75,6.71,ES,1702575173
120,port mathurin,-19.6833,63.4167,299.79,74,3,6.05,MU,1702575174
121,beyneu,45.3167,55.2,270.86,47,100,7.77,KZ,1702575174
122,crane,31.3974,-102.3501,284.43,94,100,7.25,US,1702575175
123,arraial do cabo,-22.9661,-42.0278,305.13,58,0,10.8,BR,1702575175
124,abaete,-19.16,-45.4458,309.13,24,33,1.53,BR,1702575175
125,howrah,22.5892,88.3103,290.15,72,20,0.0,IN,1702575176
126,khash,28.2211,61.2158,286.46,66,90,9.13,IR,1702575176
127,yuzhno-kurilsk,44.0306,145.8556,270.58,69,100,11.97,RU,1702575176
128,arizona city,32.7559,-111.671,288.15,34,0,1.05,US,1702575177
129,souillac,-20.5167,57.5167,300.36,78,20,2.06,MU,1702575177
130,majene,-3.5403,118.9707,299.33,84,96,2.73,ID,1702575178
131,upata,8.0086,-62.3989,303.26,47,87,1.41,VE,1702575179
132,igarka,67.4667,86.5833,250.17,97,100,5.73,RU,1702575179
133,nemuro,43.3236,145.575,270.06,63,86,9.35,JP,1702575180
134,tuensang,26.2833,94.8333,283.33,96,14,0.99,IN,1702575180
135,kars,40.602,43.095,270.4,86,0,3.6,TR,1702575180
136,kertih,4.5141,103.4483,298.16,100,100,0.0,MY,1702575181
137,vilyuchinsk,52.9306,158.4028,267.0,75,100,13.46,RU,1702575181
138,yaring,6.8662,101.3689,299.98,89,100,4.64,TH,1702575182
139,durango,24.8333,-104.8333,290.22,31,70,0.61,MX,1702575014
140,flying fish cove,-10.4217,105.6791,297.97,83,75,2.57,CX,1702575182
141,kodinar,20.7903,70.7031,295.7,73,1,2.27,IN,1702575183
142,madinat ash shamal,26.1293,51.2009,294.47,53,0,8.94,QA,1702575183
143,kaa-khem,51.6833,94.7333,243.62,98,100,0.11,RU,1702575184
144,belo jardim,-8.3356,-36.4242,300.32,53,63,6.42,BR,1702575155
145,concepcion huista,15.6167,-91.6833,293.12,62,79,2.16,GT,1702575185
146,nouadhibou,20.931,-17.0347,299.14,36,33,4.63,MR,1702575186
147,novonikolayevskiy,50.9738,42.3649,267.05,86,100,7.37,RU,1702575186
148,darnah,32.767,22.6367,292.56,44,81,8.59,LY,1702575187
149,touros,-5.1989,-35.4608,302.86,56,15,7.18,BR,1702575187
150,chipinge,-20.1883,32.6236,292.74,90,94,1.7,ZW,1702575188
151,pushchino,54.8339,37.6264,264.63,95,100,5.94,RU,1702574938
152,hinton,53.4001,-117.5857,272.87,84,100,0.99,CA,1702575188
153,naze,28.3667,129.4833,292.66,70,0,3.59,JP,1702575189
154,lata,40.1629,-8.3327,285.27,78,1,1.48,PT,1702575190
155,gebeit,21.0667,36.3167,291.64,57,0,3.49,SD,1702575190
156,chilecito,-29.1619,-67.4974,308.88,23,2,3.97,AR,1702575190
157,gamay,12.3854,125.2979,298.89,89,89,3.52,PH,1702575191
158,coquimbo,-29.9533,-71.3436,292.0,68,40,6.69,CL,1702575191
159,labrador city,52.9463,-66.9114,262.1,73,100,3.6,CA,1702575010
160,sept-iles,50.2001,-66.3821,268.39,64,40,5.14,CA,1702575192
161,del rio,29.3627,-100.8968,286.16,93,100,5.66,US,1702575193
162,ribeira grande,38.5167,-28.7,290.37,77,75,7.72,PT,1702575193
163,phrae,18.0833,100.0,293.68,85,62,0.26,TH,1702575193
164,port alfred,-33.5906,26.891,291.03,86,51,1.79,ZA,1702575194
165,sirte,31.2089,16.5887,294.69,36,65,4.12,LY,1702575194
166,porto novo,6.4965,2.6036,303.05,59,0,3.04,BJ,1702575171
167,dzhambeyty,50.2536,52.595,265.74,57,100,6.64,KZ,1702575195
168,preobrazheniye,42.9019,133.9064,266.12,38,79,2.66,RU,1702575195
169,alofi,-19.0595,-169.9187,297.09,94,100,1.54,NU,1702575196
170,kenora,49.8167,-94.4337,274.69,75,40,8.23,CA,1702575196
171,puerto rico,-26.796,-55.024,308.58,45,100,2.43,AR,1702575197
172,adrar,20.5022,-10.0711,295.2,14,3,4.14,MR,1702575198
173,susuman,62.7833,148.1667,253.7,95,100,4.02,RU,1702575198
174,san miguel panixtlahuaca,16.2484,-97.3843,301.52,36,93,0.8,MX,1702575198
175,makokou,0.5738,12.8642,297.42,60,32,0.92,GA,1702575199
176,buritis,-15.6178,-46.4233,310.95,16,2,4.65,BR,1702575200
177,la'ie,21.6477,-157.9253,295.16,62,52,9.52,US,1702575200
178,floro,61.5996,5.0328,278.69,87,75,7.72,NO,1702575201
179,miquelon,47.0975,-56.3814,270.15,56,100,12.7,PM,1702575201
180,simpang,-1.2667,104.0833,296.76,96,45,1.22,ID,1702575202
181,boa vista,2.8197,-60.6733,306.14,46,40,5.66,BR,1702575202
182,margate,51.3813,1.3862,280.87,92,95,1.79,GB,1702575202
183,nhlangano,-27.1167,31.2,295.06,62,37,2.23,SZ,1702575203
184,rongelap,11.1635,166.8941,300.64,79,92,10.01,MH,1702575204
185,bandarbeyla,9.4942,50.8122,298.72,75,6,10.49,SO,1702575204
186,kapa'a,22.0752,-159.319,295.33,71,100,11.32,US,1702575205
187,tazovsky,67.4667,78.7,256.19,97,100,2.15,RU,1702575205
188,yuza,39.0,139.9167,276.86,81,100,2.13,JP,1702575206
189,strathmore,51.0501,-113.3852,275.82,69,100,4.63,CA,1702575000
190,nadi,-17.8,177.4167,296.15,78,20,2.06,FJ,1702575207
191,kapuskasing,49.4169,-82.4331,276.2,75,75,8.75,CA,1702575207
192,thinadhoo,0.5333,72.9333,301.75,68,72,3.66,MV,1702575208
193,tobol'sk,58.2,68.2667,253.49,81,78,4.47,RU,1702575208
194,yebaishou,41.3975,119.6408,258.89,89,100,7.82,CN,1702575209
195,jayapura,-2.5333,140.7,297.81,91,84,1.74,ID,1702575209
196,uturoa,-16.7333,-151.4333,300.37,81,44,9.05,PF,1702575210
197,hithadhoo,-0.6,73.0833,301.56,73,42,3.14,MV,1702575210
198,utrik,11.2278,169.8474,300.34,79,89,9.25,MH,1702575210
199,nieuw amsterdam,5.8833,-55.0833,306.24,67,40,4.12,SR,1702575211
200,dakoro,14.5106,6.765,295.15,17,0,4.48,NE,1702575211
201,novaya igirma,57.1334,103.9112,249.57,96,100,2.85,RU,1702575212
202,malyye derbety,47.9547,44.6808,268.83,87,46,5.59,RU,1702575212
203,palmer,42.1584,-72.3287,274.85,41,75,3.6,US,1702575212
204,jinchang,38.4953,102.1739,263.13,45,100,5.85,CN,1702575213
205,gadzhiyevo,69.2551,33.3362,256.97,99,84,4.65,RU,1702575213
206,richards bay,-28.783,32.0377,296.77,81,57,8.17,ZA,1702575214
207,semporna,4.4818,118.6112,298.88,89,55,2.45,MY,1702575214
208,gulf breeze,30.3571,-87.1639,291.75,35,0,6.69,US,1702575214
209,thompson,55.7435,-97.8558,274.24,69,75,3.6,CA,1702575215
210,weatherford,32.7593,-97.7972,286.4,54,65,0.45,US,1702575215
211,queenstown,-31.8976,26.8753,287.36,75,46,5.01,ZA,1702575216
212,trinidad,-14.8333,-64.9,301.14,83,75,1.54,BO,1702575214
213,grimmen,54.1121,13.0405,275.92,88,94,1.58,DE,1702575217
214,enewetak,11.3474,162.3373,300.99,79,98,9.98,MH,1702575217
215,dhidhdhoo,6.8833,73.1,301.06,75,100,1.4,MV,1702575218
216,codrington,-38.2667,141.9667,285.97,89,100,3.06,AU,1702575218
217,mount isa,-20.7333,139.5,299.02,83,40,3.09,AU,1702575218
218,kosh-agach,50.0,88.6667,242.21,91,58,0.89,RU,1702575219
219,pisco,-13.7,-76.2167,296.49,78,0,4.63,PE,1702575219
220,yermentau,51.6214,73.1069,253.06,72,10,2.28,KZ,1702575220
221,axim,4.8699,-2.2405,300.86,64,0,3.97,GH,1702575220
222,raahe,64.6833,24.4833,264.8,96,96,2.1,FI,1702575221
223,lamar,33.6668,-95.5836,288.14,41,0,7.2,US,1702574935
224,opuwo,-18.0607,13.84,298.81,26,99,5.66,NA,1702575221
225,yatou,37.15,122.3833,277.32,92,100,10.22,CN,1702575222
226,boguchany,58.3814,97.4531,250.58,98,99,1.77,RU,1702575222
227,brookings,44.3114,-96.7984,280.42,65,0,5.66,US,1702575051
228,ancud,-41.8697,-73.8203,286.31,74,99,7.4,CL,1702575223
229,westport,41.1415,-73.3579,277.53,47,0,4.12,US,1702575223
230,khorixas,-20.3667,14.9667,297.08,25,88,6.08,NA,1702575224
231,sinabang,2.4803,96.3801,299.64,83,94,2.34,ID,1702575224
232,saint-philippe,-21.3585,55.7679,299.92,85,50,4.84,RE,1702575224
233,essaouira,31.5125,-9.77,295.87,33,20,7.72,MA,1702575224
234,beri khas,28.7,76.5833,288.1,27,57,1.87,IN,1702575225
235,iskateley,67.6803,53.1512,258.16,96,95,2.68,RU,1702575225
236,daru,-9.0763,143.2092,298.78,89,99,2.57,PG,1702575225
237,askoy,60.4092,5.226,275.79,100,75,7.2,NO,1702575226
238,stanley,54.868,-1.6985,278.03,92,0,3.6,GB,1702575016
239,santa terezinha,-29.9002,-50.0904,300.32,68,100,3.08,BR,1702575226
240,vilyuysk,63.7553,121.6247,242.04,100,99,0.86,RU,1702575227
241,karratha,-20.7377,116.8463,298.88,72,0,4.59,AU,1702575227
242,fale old settlement,-9.3852,-171.2468,298.68,92,100,4.85,TK,1702575227
243,badger,64.8,-147.5333,248.91,79,20,0.0,US,1702575228
244,malmberget,67.1753,20.6549,248.46,77,100,1.03,SE,1702575228
245,inarajan village,13.2736,144.7484,301.23,86,93,9.57,GU,1702575228
246,lazaro cardenas,17.9583,-102.2,303.91,42,100,1.79,MX,1702575228
247,port moresby,-9.4431,147.1797,297.83,88,20,1.54,PG,1702575056
248,lido di ostia,41.7321,12.2765,287.01,57,0,3.6,IT,1702575229
249,gueret,46.1667,1.8667,276.32,97,99,1.34,FR,1702575103
250,djibo,14.1022,-1.6306,298.01,14,0,4.0,BF,1702575229
251,mizdah,31.4451,12.9801,289.37,33,21,3.42,LY,1702575230
252,sandnessjoen,66.0217,12.6316,271.21,59,0,2.57,NO,1702575230
